a;x0(0);x0(1);x(0);x(1);r;y;calls
4; 4,77175;4,37759;2,70461;2,9472;4,00011;-0,189212;589;
4; 1,43753;2,27618;2,68375;2,96727;4,00091;-0,189201;633;
4; 2,18864;2,18282;2,90536;2,75042;4,00074;-0,189216;609;
4; 1,66338;2,49662;2,48506;3,13442;4,00001;-0,189201;1030;
4; 2,09685;1,6628;2,57023;3,06503;4,00006;-0,189204;901;
4; 1,9693;1,72265;2,48269;3,13629;4,00001;-0,189201;1181;
4; 3,59865;3,59118;2,90601;2,74973;4,00074;-0,189216;563;
4; 4,7045;4,08011;2,76219;2,89418;4,00074;-0,189216;609;
4; 1,94915;3,20238;2,71982;2,93317;4,00011;-0,189212;552;
4; 1,41583;3,13849;2,98799;2,66067;4,00091;-0,189201;595;
4; 2,46503;2,89418;2,63885;3,00667;4,00045;-0,189201;702;
4; 4,14652;3,71673;3,04827;2,59003;4,00003;-0,189201;1042;
4; 3,1726;4,51777;2,85298;2,80472;4,00075;-0,189216;607;
4; 2,09305;3,42489;2,5975;3,04203;4,00012;-0,1892;831;
4,4934; 1,52947;1,51106;3,75658;2,46551;4,4934;-0,217234;166;
4,4934; 1,94843;1,79349;4,02689;1,9937;4,4934;-0,217234;156;
4,4934; 2,81569;4,77429;3,03163;3,31661;4,4934;-0,217234;160;
4,4934; 1,86527;1,98548;2,33174;3,84105;4,4934;-0,217234;222;
4,4934; 3,2452;4,22753;4,12317;1,78608;4,4934;-0,217234;158;
4,4934; 1,19715;1,8911;1,52184;4,22784;4,4934;-0,217234;250;
4,4934; 4,84816;1,51971;4,05939;1,92666;4,4934;-0,217234;257;
4,4934; 3,88336;1,28819;4,3532;1,1137;4,4934;-0,217234;233;
4,4934; 4,90186;4,7202;3,68933;2,56506;4,4934;-0,217234;322;
4,4934; 2,6062;4,43735;2,96844;3,37328;4,4934;-0,217234;307;
4,4934; 3,21574;4,15978;4,08437;1,87311;4,4934;-0,217234;166;
4,4934; 2,38731;4,90753;2,92994;3,40677;4,4934;-0,217234;242;
4,4934; 1,41288;4,38753;1,85679;4,09182;4,4934;-0,217234;228;
4,4934; 3,95457;1,37528;4,1581;1,70318;4,4934;-0,217234;222;
4,4934; 3,31543;4,19749;3,84023;2,33309;4,4934;-0,217234;224;
4,4934; 3,39764;2,21288;3,78179;2,42666;4,4934;-0,217234;238;
4,4934; 3,44167;3,12353;3,20167;3,15277;4,4934;-0,217234;228;
4,4934; 4,20446;3,74154;2,94566;3,39319;4,4934;-0,217234;181;
4,4934; 4,30265;1,58754;4,05906;1,92736;4,4934;-0,217234;169;
4,4934; 4,84927;1,10749;4,14561;1,73337;4,4934;-0,217234;223;
4,4934; 4,84853;2,49575;3,7234;2,51534;4,4934;-0,217234;183;
4,4934; 4,62592;1,75921;3,84205;2,33009;4,4934;-0,217234;211;
4,4934; 1,30127;1,41211;1,84952;4,09511;4,4934;-0,217234;226;
4,4934; 3,23179;2,68836;3,17743;3,1772;4,4934;-0,217234;214;
4,4934; 1,27252;1,3398;2,00545;4,02105;4,4934;-0,217234;173;
4,4934; 4,25925;3,39348;2,78913;3,52298;4,4934;-0,217234;230;
4,4934; 1,69257;4,53977;2,1135;3,96532;4,4934;-0,217234;404;
4,4934; 3,78075;3,70147;2,55268;3,6979;4,4934;-0,217234;236;
4,4934; 1,26348;1,83935;2,10887;3,96778;4,4934;-0,217234;239;
4,4934; 4,73819;2,66245;3,4841;2,83755;4,4934;-0,217234;241;
4,4934; 2,93414;2,6878;3,29764;3,05225;4,4934;-0,217234;203;
4,4934; 3,53038;4,13158;3,83641;2,33935;4,4934;-0,217234;159;
4,4934; 1,90987;3,64048;2,14155;3,95024;4,4934;-0,217234;205;
4,4934; 3,93976;2,36965;3,53138;2,77848;4,4934;-0,217234;241;
4,4934; 3,59853;2,21704;3,57759;2,71873;4,4934;-0,217234;231;
4,4934; 4,65831;3,18961;3,01373;3,33287;4,4934;-0,217234;176;
4,4934; 3,50039;4,07168;4,15832;1,70264;4,4934;-0,217234;245;
4,4934; 1,18532;4,81428;1,82877;4,10442;4,4934;-0,217234;160;
4,4934; 2,60754;3,18904;3,00525;3,34053;4,4934;-0,217234;212;
4,4934; 4,87848;2,17137;3,63948;2,6353;4,4934;-0,217234;178;
4,4934; 1,14843;2,98615;1,7045;4,15756;4,4934;-0,217234;221;
4,4934; 1,44077;4,93925;1,91525;4,06478;4,4934;-0,217234;238;
4,4934; 1,0065;1,58152;1,44716;4,25398;4,4934;-0,217234;226;
4,4934; 4,04832;1,71418;4,02034;2,00686;4,4934;-0,217234;150;
4,4934; 1,48697;3,42279;1,76006;4,13435;4,4934;-0,217234;234;
4,4934; 4,38164;2,68639;3,22143;3,13258;4,4934;-0,217234;187;
4,4934; 1,66713;2,7272;2,22862;3,90178;4,4934;-0,217234;240;
4,4934; 1,5912;2,78793;1,87024;4,08569;4,4934;-0,217234;155;
4,4934; 3,60344;2,04245;3,74073;2,4895;4,4934;-0,217234;315;
4,4934; 3,13734;2,83801;2,57343;3,68349;4,4934;-0,217234;243;
4,4934; 1,3667;2,29996;2,01231;4,01762;4,4934;-0,217234;307;
4,4934; 4,47431;1,1463;4,29641;1,31587;4,4934;-0,217234;163;
4,4934; 3,10327;1,8356;4,11;1,81618;4,4934;-0,217234;222;
4,4934; 4,46338;4,14461;2,69349;3,59663;4,4934;-0,217234;261;
4,4934; 3,59448;4,6578;3,69597;2,55547;4,4934;-0,217234;180;
4,4934; 4,68529;3,06889;2,75396;3,55054;4,4934;-0,217234;170;
4,4934; 1,68637;3,86958;2,19823;3,91899;4,4934;-0,217234;232;
4,4934; 1,51301;4,63964;2,15959;3,94041;4,4934;-0,217234;330;
4,4934; 2,68132;2,80106;2,73848;3,5625;4,4934;-0,217234;234;
4,4934; 2,53278;3,63551;2,67532;3,61017;4,4934;-0,217234;153;
4,4934; 4,01011;4,46733;2,70992;3,58427;4,4934;-0,217234;186;
4,4934; 1,40964;2,19971;1,72229;4,15023;4,4934;-0,217234;233;
4,4934; 3,7482;2,82235;2,71043;3,58388;4,4934;-0,217234;162;
4,4934; 2,5122;4,51975;2,86003;3,46567;4,4934;-0,217234;247;
4,4934; 4,85017;1,54198;3,99364;2,05949;4,4934;-0,217234;246;
4,4934; 4,18756;2,02921;3,86423;2,29311;4,4934;-0,217234;242;
4,4934; 1,30287;1,92746;2,22813;3,90206;4,4934;-0,217234;160;
4,4934; 1,19579;3,71362;1,17218;4,33782;4,4934;-0,217234;224;
4,4934; 4,67697;1,08968;4,26689;1,40865;4,4934;-0,217234;152;
4,4934; 1,25583;3,18972;1,98847;4,02947;4,4934;-0,217234;184;
4,4934; 4,78887;2,47084;3,3582;2,98548;4,4934;-0,217234;189;
4,4934; 4,8407;1,70542;3,81719;2,3706;4,4934;-0,217234;169;
4,4934; 1,07554;2,8734;1,95027;4,0481;4,4934;-0,217234;234;
4,4934; 4,13911;1,46322;4,19131;1,61975;4,4934;-0,217234;222;
4,4934; 2,01559;2,83231;2,75078;3,553;4,4934;-0,217234;155;
4,4934; 1,92704;1,91646;3,71498;2,52777;4,4934;-0,217234;173;
4,4934; 3,15231;2,61844;3,57012;2,72853;4,4934;-0,217234;232;
4,4934; 1,59721;3,61558;1,81724;4,10954;4,4934;-0,217234;230;
4,4934; 3,57358;3,90109;3,56153;2,73973;4,4934;-0,217234;154;
4,4934; 4,29373;1,01816;4,33767;1,17271;4,4934;-0,217234;149;
4,4934; 1,37163;3,22136;2,15044;3,94541;4,4934;-0,217234;159;
4,4934; 3,77339;1,87982;3,79496;2,40602;4,4934;-0,217234;208;
4,4934; 4,83986;1,48054;4,03549;1,97623;4,4934;-0,217234;300;
