HJ-a;HJ-w;R-a;R-w;
3,14174;-0,000171081;3,14174;-0,000171162;
3,14172;-0,000161993;3,14172;-0,000162069;
3,1417;-0,000152395;3,1417;-0,000152466;
3,14169;-0,000142463;3,14169;-0,00014253;
3,14167;-0,000132353;3,14167;-0,000132415;
3,14166;-0,000122199;3,14166;-0,000122257;
3,14165;-0,00011212;3,14165;-0,000112173;
3,14164;-0,000102214;3,14164;-0,000102263;
3,14163;-9,25674e-05;3,14163;-9,26111e-05;
3,14162;-8,32484e-05;3,14162;-8,32877e-05;
3,14161;-7,43139e-05;3,14161;-7,43489e-05;
3,14161;-6,58081e-05;3,14161;-6,5839e-05;
3,1416;-5,77645e-05;3,1416;-5,77916e-05;
3,14159;-5,0207e-05;3,14159;-5,02304e-05;
3,14159;-4,31507e-05;3,14159;-4,31707e-05;
3,14159;-3,66031e-05;3,14159;-3,66199e-05;
3,14158;-3,05652e-05;3,14158;-3,0579e-05;
3,14158;-2,50322e-05;3,14158;-2,50433e-05;
3,14158;-1,99945e-05;3,14158;-2,00031e-05;
3,14158;-1,54383e-05;3,14158;-1,54447e-05;
3,14157;-1,13466e-05;3,14157;-1,13509e-05;
3,14157;-7,69963e-06;3,14157;-7,70211e-06;
3,14157;-4,47542e-06;3,14157;-4,47628e-06;
3,14157;-1,65051e-06;3,14157;-1,64994e-06;
3,14157;7,99709e-07;3,14157;8,01509e-07;
3,14157;2,9005e-06;3,14157;2,90336e-06;
3,14157;4,67745e-06;3,14157;4,68121e-06;
3,14157;6,15615e-06;3,14157;6,16065e-06;
3,14157;7,36186e-06;3,14157;7,36696e-06;
3,14157;8,31934e-06;3,14157;8,32492e-06;
3,14158;9,05264e-06;3,14158;9,05857e-06;
3,14158;9,58488e-06;3,14158;9,59107e-06;
3,14158;9,9382e-06;3,14158;9,94455e-06;
3,14158;1,01336e-05;3,14158;1,014e-05;
3,14158;1,01909e-05;3,14158;1,01973e-05;
3,14158;1,01287e-05;3,14158;1,01351e-05;
3,14158;9,96429e-06;3,14158;9,97051e-06;
3,14158;9,71364e-06;3,14158;9,71969e-06;
3,14158;9,39152e-06;3,14158;9,39736e-06;
3,14158;9,01138e-06;3,14158;9,01697e-06;
3,14159;8,58545e-06;3,14159;8,59077e-06;
3,14159;8,12476e-06;3,14159;8,12979e-06;
3,14159;7,63918e-06;3,14159;7,64391e-06;
3,14159;7,1375e-06;3,14159;7,14192e-06;
3,14159;6,62744e-06;3,14159;6,63154e-06;
3,14159;6,11575e-06;3,14159;6,11953e-06;
3,14159;5,60826e-06;3,14159;5,61172e-06;
3,14159;5,10993e-06;3,14159;5,11309e-06;
3,14159;4,62496e-06;3,14159;4,62781e-06;
3,14159;4,15679e-06;3,14159;4,15934e-06;
3,14159;3,70821e-06;3,14159;3,71048e-06;
3,14159;3,28141e-06;3,14159;3,28341e-06;
3,14159;2,87803e-06;3,14159;2,87978e-06;
3,14159;2,49923e-06;3,14159;2,50074e-06;
3,14159;2,14573e-06;3,14159;2,14702e-06;
3,14159;1,8179e-06;3,14159;1,81898e-06;
3,14159;1,51575e-06;3,14159;1,51664e-06;
3,14159;1,23902e-06;3,14159;1,23973e-06;
3,14159;9,87203e-07;3,14159;9,8775e-07;
3,14159;7,5959e-07;3,14159;7,5999e-07;
3,14159;5,55309e-07;3,14159;5,55578e-07;
3,14159;3,73352e-07;3,14159;3,73504e-07;
3,14159;2,12606e-07;3,14159;2,12655e-07;
3,14159;7,18828e-08;3,14159;7,18409e-08;
3,14159;-5,00616e-08;3,14159;-5,01818e-08;
3,14159;-1,54503e-07;3,14159;-1,5469e-07;
3,14159;-2,42733e-07;3,14159;-2,42976e-07;
3,14159;-3,16038e-07;3,14159;-3,16327e-07;
3,14159;-3,75691e-07;3,14159;-3,76018e-07;
3,14159;-4,22938e-07;3,14159;-4,23294e-07;
3,14159;-4,58986e-07;3,14159;-4,59364e-07;
3,14159;-4,84998e-07;3,14159;-4,85391e-07;
3,14159;-5,02085e-07;3,14159;-5,02487e-07;
3,14159;-5,11299e-07;3,14159;-5,11705e-07;
3,14159;-5,13636e-07;3,14159;-5,1404e-07;
3,14159;-5,10025e-07;3,14159;-5,10425e-07;
3,14159;-5,01333e-07;3,14159;-5,01724e-07;
3,14159;-4,88362e-07;3,14159;-4,88742e-07;
3,14159;-4,71849e-07;3,14159;-4,72215e-07;
3,14159;-4,52466e-07;3,14159;-4,52816e-07;
